,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
CCN1,-0.018102258,-0.24086206,0.35245103,-0.44325903,0.29968742,-0.075913124,0.044185717,-0.17176664,0.070034474,0.012644347,0.3851461,0.026913036,0.0821475,0.3710794,0.44198552
FGL2,0.040059447,-0.18027051,0.34801602,-0.23017538,0.1604646,0.060301747,0.15357973,-0.14588642,0.16041048,0.08050095,0.48015293,0.066284224,0.20851372,0.42650184,0.4743554
Prior_based_cluster9,0.108525485,-0.3374814,0.26820296,-0.0130214505,0.3452612,0.3839569,0.035566594,0.06335283,0.04356115,-0.1476753,0.041779935,0.16515759,-0.16714637,0.25306472,0.06870124
MEX3A,0.098929696,-0.42162278,0.2150343,-0.3829454,0.49539614,0.3073837,-0.10925431,0.104027346,-0.3061079,-0.22225949,-0.05880618,0.13267809,-0.22388117,0.19204035,-0.07572827
IGF2BP3,0.10438659,-0.3247865,0.12359385,-0.0040001436,0.42535394,0.5588211,-0.15271568,0.2343431,0.061950218,-0.048107766,-0.06572964,0.26743162,-0.42270604,0.18050273,-0.0602185
CHEK1,0.3279633,-0.15653647,0.06902562,-0.26992324,0.61630976,0.40665218,-0.13156316,0.15168287,-0.2260555,-0.11543191,-0.07857414,0.0634374,-0.30727458,0.16075239,-0.09955066
Prior_based_cluster10,0.15722057,-0.20695268,0.35257035,0.24965209,-0.060298003,-0.14245939,0.37375724,0.040289756,0.15345241,-0.0516596,0.11883615,0.073974036,0.07994256,0.025032792,0.14966331
SLPI,0.14345348,-0.23862311,0.5626703,0.21415186,0.030139716,-0.33341002,0.3766254,0.0772554,0.39287302,0.03788816,0.24496642,0.12789553,-0.022707488,-0.103818454,0.23809914
IDE,0.5169804,-0.36657697,0.23176451,0.15833996,-0.16494213,-0.5020625,0.15080029,0.030660383,-0.081436,-0.0010720635,0.12209841,0.16939874,0.062939644,-0.3935556,0.08676772
KIF26B,0.18088932,-0.11474259,0.43132126,0.18288766,-0.24937835,-0.25884733,0.3115734,-0.007942589,0.3470547,0.0026896824,0.2891718,0.12317163,-0.35100907,0.008441509,0.40714917
